source,content,type
知乎,哥哥的手指是麻醉针，碰一下，便沉醉。,彩虹屁
知乎,你好美，太平洋是我为你流的口水。,彩虹屁
知乎,姐妹长得真省化妆品。,彩虹屁
知乎,你好，我是网络警察。你因为太可爱被逮捕了，手伸出来给我抓住。,彩虹屁
知乎,你在哪整的? 去掉翅膀的痕迹都看不见。,彩虹屁
知乎,把你自拍发来，我要换手机屏幕了。,彩虹屁
知乎,把你自拍发来，我要换手机屏幕了。,彩虹屁
知乎,明明没有超速，却还是被交警抓住了，原来是你让我心跳加速。,彩虹屁
知乎,同一时间，你在撩头发，而我在确认脉搏。,彩虹屁
知乎,怎么发自拍也不打个招呼？我只是随便刷刷朋友圈，还没做好心理准备，动了动大拇指就这么大个美女跳出来，我受得了吗？！下次注意,彩虹屁
知乎,姐姐太美了 恐龙灭绝一定是因为它们手太短没法为你美貌鼓掌而难过的死掉了,彩虹屁
知乎,有毛病吧，长这么好看是要怎样？,彩虹屁
知乎,昏迷，为什么会有明星出现在我的pyq？,彩虹屁
知乎,这是什么绝世美少女，万年一遇的颜啊，今天也是仔细体味姐姐盛世美颜的一天。姐姐的眼眸就像珍宝匣里最美的琥珀，是俘获我心的最美的那颗，这样明媚的脸庞是什么仙子颜啊！是真实存在的珍宝吗？我看姐姐是从拉斐尔画里走出来的自带光环的绝世贵族吧！,彩虹屁
知乎,这张脸在古代可以换边疆300年和平了！,彩虹屁
知乎,这世上一切美好的事情，你的脸就占了99％！,彩虹屁
知乎,不要淋到雨啦，不然你会可爱到发芽。,彩虹屁
知乎,生活每天都让我灰头土脸，你却有能力让沙漠里开出蔷薇,彩虹屁
知乎,你应该在淘宝上架，因为你是宝贝呀！,彩虹屁
知乎,你再不回去迪士尼就要没公主了！！！！,彩虹屁
知乎,p图技术再练练吧，根本没本人好看。,彩虹屁
知乎,女娲娘娘炫技作品。,彩虹屁
知乎,,
知乎,,
知乎,,
知乎,,
知乎,,
知乎,,
知乎,,
知乎,,
知乎,,
知乎,,
知乎,,
知乎,,
知乎,,
知乎,,
知乎,,
知乎,,
知乎,,
知乎,,
